model,doorCount,bodyStyle,sizeSegment,wheelbase,platform, powerTrain__engineCapacity ,powerTrain__engine,transmission__gearCount,transmission__type,assembly__001,exported,manufactureYear,endOfProduction
Proton Wira Aeroback,5,Hatchback,C,2500,Mitsubishi CB, 1.5 ,4G91x,4,Auto,Vietnam,TRUE,1993,2009
Proton Wira Aeroback,5,Hatchback,C,2500,Mitsubishi CB, 1.6 ,4G92P,4,Auto,Vietnam,TRUE,1993,2009
Proton Wira Aeroback,5,Hatchback,C,2500,Mitsubishi CB, 1.8 ,4G93P,4,Auto,Vietnam,TRUE,1993,2009
Proton Wira Aeroback,5,Hatchback,C,2500,Mitsubishi CB, 2.0 ,4D68x,4,Auto,Vietnam,TRUE,1993,2009
Proton X70,5,SUV,B,2670,Geely NL, 1.5 ,Turbo I3,6,Manual,Malaysia,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.8 ,4G18TDB I4,6,Manual,Malaysia,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 2.0 ,4G20 I4,6,Manual,Malaysia,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.5 ,Turbo I3,6,Auto,Malaysia,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.8 ,4G18TDB I4,6,Auto,Malaysia,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 2.0 ,4G20 I4,6,Auto,Malaysia,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.5 ,Turbo I3,6,Manual,China,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.8 ,4G18TDB I4,6,Manual,China,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 2.0 ,4G20 I4,6,Manual,China,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.5 ,Turbo I3,6,Auto,China,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.8 ,4G18TDB I4,6,Auto,China,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 2.0 ,4G20 I4,6,Auto,China,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.5 ,Turbo I3,6,Manual,Belarus,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.8 ,4G18TDB I4,6,Manual,Belarus,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 2.0 ,4G20 I4,6,Manual,Belarus,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.5 ,Turbo I3,6,Auto,Belarus,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 1.8 ,4G18TDB I4,6,Auto,Belarus,TRUE,2016,3000
Proton X70,5,SUV,B,2670,Geely NL, 2.0 ,4G20 I4,6,Auto,Belarus,TRUE,2016,3000
